el calentamiento global	global warming
el cambio climático	climate change
la conservación	conservation
la contaminación (del aire; del agua)	(air; water) pollution
la deforestación	deforestation
la ecología	ecology
el ecoturismo	ecotourism
la energía (nuclear, solar)	(nuclear, solar) energy
el envase	container
la extinción	extinction
la fábrica	factory
el gobierno	government
la lata	can
la ley	law
el medio ambiente	environment
el peligro	danger
la (sobre) población	(over) population
el reciclaje	recycling
el recurso natural	natural resource
la solución	solution
cazar	to hunt
conservar	to conserve
contaminar	to pollute
controlar	to control
cuidar	took care of
dejar de	to stop (doing something)
desarrollar	to develop
descubrir	to discover
destruir	to destroy
estar afectado/a (por)	to be affected (by)
estar contaminado/a	to be polluted
evitar	to avoid
mejorar	to improve
proteger	to protect
reciclar	to recycle
recoger	to pick up
reducir	to reduce
resolver (o:ue)	to resolve
respirar	to breathe
de aluminio	(made) of aluminum
de plástico	(made) of plastic
de vidrio	(made) of glass
ecologista	ecological
puro/a	pure, clean
renovable	renewable
