tenía	She used to have
ayudaba	I used to help
jugaba	He used to play
caminabas	You (informal) used to walk
salían	They used to get out
lloraban	You all used to cry
era	You (formal) used to be/You were
decía	She was saying
leía	I used to read
peleaban	They used to fight
hablabas	You (informal) used to speak
vivías	You used to live
vendía	He used to sell
contábamos	We used to tell
éramos	We were (ser)
estábamos	We were (estar)
pensábamos	We used to think
perdía	I would lose
dormía	She used to sleep
repetía	He was repeating
recordaba	I was remembering
hacía	I used to make
viajaba	I would travel
veía	She was seeing
mirábamos	We were watching
visitaban	They would visit
iba	I was going
íbamos	We used to go
podían	They used to be able to
llegaba	I was arriving
querían	They used to want
sonreía	She used to smile
recordábamos	We used to remember
bebías	You used to drink
nadaban	They used to swim
