abierto/a	open
el aeropuerto	airport
antiguo/a	ancient, old
el camino	path
la carretera	road, highway
cerrado	closed
construir	to build/construct
destruir	to destroy
en el pasado	in the past
el estadio	stadium
el gimnasio	gym
la granja	farm
hecho/a (de)	made, constructed (from, with)
hoy	today
indígena	indigenous
el ladrillo	brick
la madera	wood
manejar	to drive
moderno/a	modern
el monumento	monument
nuevo/a	new
el parque acuático	water park
la piedra	stone
todavía	still
el tráfico	traffic
el transporte público	public transportation
acoger	to welcome
apagar	to turn off
apreciar la diversidad	to appreciate diversity
colaborar	to collaborate
confiar (en)	to trust (in)
costumbre	custom
contrar (o-ue) leyendas	to tell legends
creer (que)	to believe (that)
de repente	suddenly
honesto/a	honest
incluir a todos	to include everyone
defender (e-ie) los derechos	to defend rights
mantener las tradiciones	to maintain traditions
mientras	while
una parte de	a part of
pensar (que) (e-ie)	to think (that)
respetar	to respect
servir (e-ie) comida a los invitados	to serve food to guests
sobre	about
tener paciencia	to have patience
el valor	value
el área verde (femenine noun) (el always)	green space
el/la conductor/ora	Driver
el cruce peatonal	crosswalk
mejor	best, better
el peatón/la peatona	pedestrian
el/la pasajero/a	passenger
recomendable	recommendable
el semáforo	stoplight
la viá para bicicletas	bike lane
accesible	accessible
automatizado/a	automated
crear	to create
frustrante	frustrating
la población	population
reducir el estrés	to reduce stress
seguro/a	safe
el sistema	system
conservar los recursos naturales	to conserve natural resources
la contaminación	pollution
importante	important
necesario/a	necessary
usar energías renovables	to use renewable energies
el animal silvestre	wild animal
el bosque	forest, woods
la cascada	waterfall
causar daño	to cause damage
ecológico/a	ecological
el ecoturismo	ecotourism
explorar	to explore
preservar	to preserve
el sendero	path
tomar el sol	to sunbathe
volar (o-ue) en parapente	to paraglide
el volcán	volcano
el año pasado	last year
anoche	last night
antes (de)	before
ayer	yesterday
después (de)	after
en cambio	however
en mi opinión	in my opinion
entonces	then
el fin de semana pasado	last weekend
luego	later
por último	finally, last
primero	first
sin embargo	however
acampar	to go camping
alquilar un kayak	to rent a kayak
caer	to fall
decidir	to decide
descubrir	to discover
devolver (o-ue)	to return (an item)
escoger	to choose
hacer esnórquel	to snorkel
hacer una caminata	to go for a walk, hike
hacer una fogata	to make a fire
ir de excursión	to go on an excursion
ir de pesca	to go fishing
el lago	lake
observar las estrellas	to observe the stars
pasear en bote	to go boating
recorrer	to travel to or across, to go around
sacar fotos	to take photos
se permite (permitir)	it is permitted
se prohíbe (prohibir)	it is prohibited
ahorrar	to save
la batería	battery
la bolsa de tela	cloth bag
la bombilla	light bulb
botar	to throw away
cambiar	to change
el cartón	cardboard
el contenedor de reciclaje	recycling container
encender (ie)	to turn on, to light
el hábito	habit
la lata	can
la máquina	machine
la materia orgánica	organic material
ordenar	to sort
el papel	paper
en peligro de extinción	in danger of extinction
el periódico	newspaper
reciclar	to recycle
reusable	reusable
la revista	magazine
sembrar (e-ie)	to plant
el vidrio	glass
