el asiento	seat
el/la cantante	singer
el escenario	stage
el espectáculo	show, performance
el estreno	premiere
la función	performance (theater; movie)
la obra de teatro	theater play
la taquilla	box office
aplaudir	to applaud
el árbitro	referee
el parque de atracciones	amusement park
el club deportivo	sports club
anotar/marcar (un gol/un punto)	to score a goal or point
desafiar	to challenge
empatar	tie (game)
vencer	to defeat
el ajedrez	chess
el juego de mesa	board game
el tiempo libre	free time
aburrirse	to get bored
celebrar/festejar	to celebrate
el album	photo album
brindar	to make a toast
dar un paseo	to take a walk, stroll
reunirse (con)	to get together with
animado	lively
divertido	amusing, fun
entretenido	entertaining
el circo	circus
el/la deportista	athlete
