el juego de mesa	board game
celebrar/festejar	to celebrate
el campeonato	championship
el concierto	concert
la taquilla	box office
el boliche	bowling
el pasatiempo	pastime
los naipes	playing cards
disfrutar	to enjoy
el circo	circus
el/la deportista	athlete
el partido (de)	the game
boletos	tickets
obra de teatro	the play
el empate	tied game
el espectáculo	the show
hacer cola	to wait in line
vencer	to defeat
el árbitro	referee
el ajedrez	chess
dar un paseo	to take a stroll
divertirse	to have fun
aburrirse	to get bored
aplaudir	to applaud
brindar	to make a toast
animado	lively
retar	to challenge
los dardos	darts
