Congestionado/a (adj)	congested; stuffed-up
embarazada (adj)	pregnant
grave (adj)	grave;serious
mareado/a (adj)	dizzy; nauseated
médico/a (adj)	medical
saludable (adj)	healthy
sano/a (adj)	healthy
a menudo (adv)	often
a tiempo (adv)	on time
a veces (adv)	sometimes
además (adv)	furthermore; besides; in addition
apenas (adv)	barely; hardly
así (adv)	like this; so
bastante (adv)	enough; rather
casi (adv)	almost
con frecuencia (adv)	frequently
de niño/a (adv)	as a child
de vez en cuando (adv)	from time to time
despacio (adv)	slowly
menos (adv)	less
mientras (adv)	while
muchas veces (adv)	many times
poco (adv)	little; not much
por lo menos (adv)	at least
pronto (adv)	soon
rápido (adv)	quickly; fast
todos los días (adv)	every day
