agradar	complacer, contentar, gustar
el alma	sustancia espiritual de los seres; vida humana
la apariencia	aspecto o parecer exterior de alguien o algo
apreciado, apreciada	valorado/valorada, tenido/tenida en cuenta
la armonía	unión de elementos diferentes pero acordes
artificial	hecho por el ser humano y no por la naturaleza
atractivo, atractiva	cualidad de una persona que resulta agradable o llama la atención
el atributo	cada una de las cualidades o propiedades de un ser
las bellas artes	artes que buscan expresar la belleza, especialmente la pintura, la escultura, la arquitectura y la música
cautivar	aprisionar; atraer, seducir
el concepto	idea; opinión, juicio
conmover	inquietar o enternecer; provocar emociones o sentimientos
la cualidad	característica distintiva de alguien o algo
la danza	baile
deleitar	agradar, producir encanto
desafiar	invitar o incitar a una persona a luchar o competir; retar o provocar
el desperfecto	defecto o deterioro
el diseño	concepción original de un objeto u obra destinados a la producción en serie
la elegancia	cualidad de ser ilustre o galante
el encanto	cualidad o cualidades que hacen que una persona o cosa sea muy atractiva o agradable
la escultura	figura artística creada con un material sólido
el espíritu	ánimo, valor, aliento, brío, esfuerzo
exótico, exótica	extranjero/extranjera o procedente de un país o lugar lejano y percibido como muy distinto del propio
expresivo, expresiva	que manifiesta con gran viveza lo que siente o piensa
la fealdad	deformidad, monstruosidad, desproporcionalidad
la gracia	don o favor; cualidad
el gusto	sentido corporal con el que se distinguen los sabores
la hermosura	belleza percibida por el oído o la vista
impresionar	causar en alguien una impresión física o moral
inspirar	infundir o hacer nacer en el ánimo o la mente afectos o ideas
el oído	sentido corporal que permite percibir los sonidos
el olfato	sentido corporal para percibir aromas
la pintura	obra pintada sobre una tabla, un papel o un lienzo
precioso, preciosa	de mucho valor o de elevado costo; digno/digna de estimación y afecto
la proporción	igualdad o equilibrio de las partes
los rasgos	expresión, peculiaridad o rasgo distintivo
reflejar	expresar o mostrar
la simetría	correspondencia exacta en la disposición regular de las partes
la simpatía	inclinación afectiva entre personas, generalmente espontánea y mutua
subjetivo, subjetiva	que se basa en los sentimientos de la persona
el tacto	sentido corporal para percibir contacto, presión y temperatura
la vista	sentido corporal con que los ojos perciben algo mediante la acción de la luz
