además (de)	furthermore, in addition
a la (misma) vez	at the same time
además	besides, furthermore
al mismo tiempo	at the same time
asimismo	likewise
bastaría poner un ejemplo	here is an example
con respecto a	with respect to
conforme a	according to
constar que	to make known that, to certify that
de aquí (ahora, hoy) en adelante	from now on
de hecho	in fact
el caso es que	the fact is that
el hecho de que	the fact that
en otras palabras	in other words
entonces	then
es decir (que)	that is to say, in other words
específicamente	specifically
igualmente	equally
las razones por las que	the reasons for which
mientras	while
mientras tanto	meanwhile, in the meantime
o sea	that is to say, in other words
para continuar	to continue
para ejemplificar	to exemplify
para ilustrar	to illustrate
por añadidura	as well, besides, in addition
por eso	therefore
por ejemplo	for example
principalmente	mostly, especially
también	also
tampoco	neither, nor either
