actual	current, present
actualmente	currently, presently
el argumento	plot of a story or novel
asistir a	to attend
asumir	to take on, adopt, accept
la carpeta	folder
chocar	to crash, bump into
la competencia	competition, contest
la cualidad	quality (of character)
la cuestión	issue, problem
la decepción	disappointment
embarazada	pregnant
el éxito	success
la fábrica	factory
la ganga	bargain, deal
gracioso	funny, witty
largo	long
la letra	letter (alphabet)
los parientes	relatives
pretender	to seek, claim, aspire to
quitar	to take away, remove
realizar	to achieve, bring to fruition
recordar	to remember
restar	to subtract
sensible	sensitive
suceder	to happen, occur
últimamente	lately
