me gusta	I like
te gusta	You like (familiar)
le gusta	He/she/you likes (formal)
nos gusta	We like
les gusta	They/you all like
a mí me gusta	I like (a lot)
a ti te gusta	You like (a lot) (familiar)
a él le gusta	He likes (a lot)
a ella le gusta	She likes (a lot)
a usted le gusta	You like (a lot) (formal)
a nosotros nos gusta	We like (a lot)
a nosotras nos gusta	We like (a lot) (all female group)
a ellos les gusta	They like (a lot)
a ellas les gusta	They like (a lot) (all female group)
a ustedes les gusta	You all like (a lot)
