venir	to come
hacer	to do
tener	to have
oír	to hear
poner	to put
salir	to leave
suponer	to suppose
traer	to bring
ver	to see
vengo	to come/yo
viene	to come/él
vienes	to come/tú
venimos	to come/nos
vienen	to come/ellos
tengo	to have/yo
tiene	to have/él
tienes	to have/tú
tenemos	to have/nos
tienen	to have/ellos
hago	to do/yo
hace	to do/él
haces	to do/tú
hacemos	to do/nos
hacen	to do/ellos
oigo	to hear/yo
oye	to hear/él
oyes	to hear/tú
oímos	to hear/nos
oyen	to hear/ellos
pongo	to put/yo
pone	to put/él
pones	to put/tú
ponemos	to put/nos
ponen	to put/ellos
salgo	to leave/yo
sale	to leave/él
sales	to leave/tú
salimos	to leave/nos
salen	to leave/ellos
supongo	to suppose/yo
supone	to suppose/él
supones	to suppose/tú
suponemos	to suppose/nos
suponen	to suppose/ellos
traigo	to bring/yo
trae	to bring/él
traes	to bring/tú
traemos	to bring/nos
traen	to bring/ellos
veo	to see/yo
ve	to see/él
ves	to see/tú
vemos	to see/nos
ven	to see/ellos
