cero	zero
uno	one
dos	two
tres	three
cuatro	four
cinco	five
seis	six
siete	seven
ocho	eight
nueve	nine
diez	ten
once	eleven
doce	twelve
trece	thirteen
catorce	fourteen
quince	fifteen
dieciséis	sixteen
diecisiete	seventeen
dieciocho	eighteen
diecinueve	nineteen
veinte	twenty
veintiuno	twenty one
veintidós	twenty two
veintitrés	twenty three
veinticuatro	twenty four
veinticinco	twenty five
veintiséis	twenty six
veintisiete	twenty seven
veintiocho	twenty eight
veintinueve	twenty nine
treinta	thirty
treinta y uno	thirty one
treinta y dos	thirty two
treinta y tres	thirty three
treinta y cuatro	thirty four
treinta y cinco	thirty five
treinta y seis	thirty six
treinta y siete	thirty seven
treinta y ocho	thirty eight
treinta y nueve	thirty nine
cuarenta	forty
cuarenta y uno	forty one
cuarenta y dos	forty two
cuarenta y tres	forty three
cuarenta y cuatro	forty four
cuarenta y cinco	forty five
cuarenta y seis	forty six
cuarenta y siete	forty seven
cuarenta y ocho	forty eight
cuarenta y nueve	forty nine
cincuenta	fifty
cincuenta y uno	fifty one
cincuenta y dos	fifty two
cincuenta y tres	fifty three
cincuenta y cuatro	fifty four
cincuenta y cinco	fifty five
cincuenta y seis	fifty six
cincuenta y siete	fifty seven
cincuenta y ocho	fifty eight
cincuenta y nueve	fifty nine
sesenta	sixty
sesenta y uno	sixty one
sesenta y dos	sixty two
sesenta y tres	sixty three
sesenta y cuatro	sixty four
sesenta y cinco	sixty five
sesenta y seis	sixty six
sesenta y siete	sixty seven
sesenta y ocho	sixty eight
sesenta y nueve	sixty nine
setenta	seventy
setenta y uno	seventy one
setenta y dos	seventy two
setenta y tres	seventy three
setenta y cuatro	seventy four
setenta y cinco	seventy five
setenta y seis	seventy six
setenta y siete	seventy seven
setenta y ocho	seventy eight
setenta y nueve	seventy nine
ochenta	eighty
ochenta y uno	eighty one
ochenta y dos	eighty two
ochenta y tres	eighty three
ochenta y cuatro	eighty four
ochenta y cinco	eighty five
ochenta y seis	eighty six
ochenta y siete	eighty seven
ochenta y ocho	eighty eight
ochenta y nueve	eighty nine
noventa	ninety
noventa y uno	ninety one
noventa y dos	ninety two
noventa y tres	ninety three
noventa y cuatro	ninety four
noventa y cinco	ninety five
noventa y seis	ninety six
noventa y siete	ninety seven
noventa y ocho	ninety eight
noventa y nueve	ninety nine
