buscar	to look for
caber	to fit
caerse	to fall
corregir	to correct
conocer	to know
compartir	to share
dar	to give
dirigir	to direct, manage
estar	to be (temporary)
escribir	to write
hacer	to do, to make
ir	to go to
jugar	to play
pensar	to think
poder	to be able to
proponer	to propose, to suggest
parecer	to seem, appear
pedir	to ask for, to order
prohibir	to prohibit
ser	to be (permanent)
salir	to leave, to go out
viajar	to travel
aburrirse	to get bored
distinguir	to distinguish
suponer	to suppose, to assume
venir	to come
