la norma	regla de obligado cumplimiento
obligatorio, obligatoria	de obligado cumplimiento y ejecución
orientar	guiar, dirigir
el peligro	riesgo o posibilidad inmediata de que suceda algún mal
perjudicial	malo o dañino para la mente o el cuerpo
el precepto	instrucción, regla o mandato establecido
la preocupación	Intranquilidad, inquietud o temor que produce alguna cosa
promover	iniciar o activar una cosa procurando su realización
proteger	cubrir o cuidar una cosa o persona para evitar daños; amparar, favorecer, defender
el protocolo	itinerario de reglas para una ceremonia o acto
la rama	cada una de las áreas en que se divide una ciencia o disciplina
rechazar	no aceptar una cosa o una persona; negar o alejar
la rectitud	recta razón o exactitud
regir	guiar, mandar, gobernar
reglamentado, reglamentada	que está hecho/hecha de normas o reglas
regular	determinar las reglas o normas a que debe ajustarse alguien o algo
tomar en cuenta	tener en consideración, incluir
veraz	cierto, verdadero
la virtud	valor, vigor, bondad
vulnerable	frágil
la ética	conforme a la moral o a las costumbres establecidas
el bien	lo que es favorable, conveniente
