agradar	to please, be pleasing
el alma	soul, spirit
la apariencia	appearance, aspect
apreciado, apreciada	valued, appreciated
la armonía	harmony, peace
artificial	artificial
atractivo, atractiva	attractive, good-looking
el atributo	attribute, quality
las bellas artes	fine arts
cautivar	to captivate
el concepto	concept, idea
conmover	to move (emotionally)
la cualidad	quality, characteristic
la danza	dance (as an art form)
deleitar	to delight, please
desafiar	to challenge, to defy
el desperfecto	flaw, imperfection
el diseño	design, pattern
la elegancia	elegance, style
el encanto	charm
la escultura	sculpture
el espíritu	spirit
exótico, exótica	exotic
expresivo, expresiva	expressive
la fealdad	ugliness / hideousness
la gracia	grace
el gusto	our senses/pleasure
la hermosura	loveliness
impresionar	to impress
inspirar	to inspire
el oído	(sense of) hearing; inner ear
el olfato	sense of smell
la pintura	painting; picture
precioso, preciosa	precious
la proporción	proportion
los rasgos	features
reflejar	to reflect, show
la simetría	symmetry
la simpatía	sympathy
subjetivo, subjetiva	subjective
el tacto	sense of touch
la vista	view, sight
