la familia nuclear	immediate family
la familia extendida	extended family
los bisabuelos	great grandparents
los nietos	grandchildren
patriarcal	patriarchal (male-dominated)
matriarcal	matriarcal (female-dominated)
la tasa de natalidad	birth rate
la tasa de mortalidad	death rate
la comunidad	community
el pueblo	a nation or people
las costumbres	customs
la vida cotidiana	everyday life
el hogar	the home
las viviendas	dwellings
la convivencia	coexistence
el hogar	home
los estadounidenses	united states residents
desestructurado/a	broken
las necesidades básicas	basic needs
alcanzar	to reach
los ingresos	income
los gastos	expenses
el promedio	average
per cápita	per capita
la mitad	half
por ciento	percent
los índices	index
la esperanza de vida	life expectancy
la calidad de vida	quality of life
la pobreza	poverty
la riqueza	wealth
la canasta básica	market basket
los alimentos	food
alimentario/a	food (adj.)
