welcomed	acogido, admitido y protegido
acculturation	la aculturación, efecto de incorporar un grupo humano a elementos culturales de otro
isolated	aislado, sin conexión con otros
to contribute	aportar, contribuir, proporcionar
assimilation	la asimilación, acomodación, acostumbrarse a vivir en una comunidad nueva
to assimilate	asimilarse, incorporarse, adaptarse
living together	la convivencia, coexistencia; acción de vivir en compañía de otras personas
alienation and isolation	la enajenación, alienación, el acto de distanciarse del grupo
ethnicity	la etnia, una comunidad natural de personas con semejanzas raciales, religiosas, familiares, culturales
ethnic	étnico, relativo a una etnia o raza
to integrate	integrarse, unirse a un grupo para formar parte de él
to get involved	involucrarse, incluirse en algo, participar, implicarse en algo
to persevere	perseverar, persistir, continuar de una manera decidida
to relocate / to move	trasladarse, mudarse
