welcomed	acogido, admitido y protegido
acculturation	la aculturación, efecto de incorporar un grupo humano a elementos culturales de otro
isolated	aislado, sin conexión con otros
to contribute	aportar, contribuir o proporcionar
assimilation	la asimilación, acostumbrarse a vivir en una comunidad nueva
to assimilate	asimilarse, incorporarse o adaptarse
living together	la convivencia, coexistencia o acción de vivir en compañía de otras personas
alienation and isolation	la enajenación, alienación o acto de distanciarse del grupo
ethnicity	la etnia, comunidad natural de personas con semejanzas raciales, religiosas, familiares o culturales
ethnic	étnico, relativo a una etnia o raza
to integrate	integrarse, unirse a un grupo para formar parte de él
to get involved	involucrarse, incluirse o participar en algo
to persevere	perseverar, persistir o continuar de una manera decidida
to relocate / to move	trasladarse, mudarse
