acogido	admitido y protegido
la aculturación	efecto de incorporar un grupo humano a elementos culturales de otro
aislado	sin conexión con otros
aportar	contribuir, proporcionar
la asimilación	acomodación, acostumbrarse a vivir en una comunidad nueva
asimilarse	incorporarse, adaptarse
la convivencia	coexistencia; acción de vivir en compañía de otras personas
la enajenación	alienación, el acto de distanciarse del grupo
la etnia	una comunidad natural de personas con semejanzas raciales, religiosas, familiares, culturales
étnico	relativo a una etnia o raza
integrarse	unirse a un grupo para formar parte de él
involucrarse	incluirse en algo, participar, implicarse en algo
perseverar	persistir, continuar de una manera decidida
trasladarse	mudarse
