el adelanto	progreso o mejoría; avance
apelar	recurrir al juez o tribunal superior para que revoque la sentencia dada por el inferior
la bioética	estudio de los problemas éticos que se derivan de la investigación biológica
la competencia	disputa o contienda entre dos o más personas sobre algo
concretar	precisar; reducir a lo más esencial
controvertido	que genera discusión y da lugar a opiniones contrarias
el criterio	juicio para discernir, clasificar o relacionar una cosa
el código ético	conjunto de normas morales
deber	tener que hacer algo; obligación
el derecho	justo, fundado, legítimo
establecer	ponerse a vivir de manera estable en un sitio
el estándar	que sirve como tipo, modelo, norma, patrón o referencia por ser corriente, de serie
evitar	impedir un daño o una molestia; impedir el encuentro con algo o alguien
la filosofía	ciencia que trata de la esencia, propiedades, causas y efectos de las cosas naturales
el fundamento	principio o cimiento en el que se apoya algo
garantizar	dar garantías
guiar	ir mostrando el camino
imponerse	hacer valer su autoridad o poderío
la integridad	cualidad de íntegro
el mal	lo contrario al bien, lo que se aparta de lo lícito y honesto
la moral	relacionado con la clasificación de los actos humanos en buenos y malos según el bien general
la moralidad	conjunto de valores de una doctrina
la norma	regla de obligado cumplimiento
obligatorio, obligatoria	de obligado cumplimiento y ejecución
orientar	guiar, dirigir
el peligro	riesgo o posibilidad inmediata de que suceda algún mal
perjudicial	malo o dañino para la mente o el cuerpo
el precepto	instrucción, regla o mandato establecido
la preocupación	Intranquilidad, inquietud o temor que produce alguna cosa
promover	iniciar o activar una cosa procurando su realización
proteger	cubrir o cuidar una cosa o persona para evitar daños; amparar, favorecer, defender
el protocolo	itinerario de reglas para una ceremonia o acto
la rama	cada una de las áreas en que se divide una ciencia o disciplina
rechazar	no aceptar una cosa o una persona; negar o alejar
la rectitud	recta razón o exactitud
regir	guiar, mandar, gobernar
reglamentado, reglamentada	que está hecho/hecha de normas o reglas
regular	determinar las reglas o normas a que debe ajustarse alguien o algo
tomar en cuenta	tener en consideración, incluir
veraz	cierto, verdadero
la virtud	valor, vigor, bondad
vulnerable	frágil
la ética	conforme a la moral o a las costumbres establecidas
el bien	lo que es favorable, conveniente
