garantizar	dar garantías
guiar	ir mostrando el camino
imponerse	hacer valer su autoridad o poderío
la integridad	cualidad de íntegro
el mal	lo contrario al bien, lo que se aparta de lo lícito y honesto
la moral	relacionado con la clasificación de los actos humanos en buenos y malos según el bien general
la moralidad	conjunto de valores de una doctrina
la norma	regla de obligado cumplimiento
obligatorio, obligatoria	de obligado cumplimiento y ejecución
orientar	guiar, dirigir
el peligro	riesgo o posibilidad inmediata de que suceda algún mal
perjudicial	malo o dañino para la mente o el cuerpo
el precepto	instrucción, regla o mandato establecido
la preocupación	Intranquilidad, inquietud o temor que produce alguna cosa
promover	iniciar o activar una cosa procurando su realización
