autoritario/a	strict; authoritarian
cariñoso/a	affectionate
celoso/a	jealous
cuidadoso/a	careful
falso/a	insincere
gracioso/a	funny; pleasant
inseguro/a	insecure
maduro/a	mature
inmaduro	immature
mentiroso/a	lying
orgulloso/a	proud
permisivo/a	permissive; easy-going
seguro/a	sure; confident
sensato/a	sensible
sensible	sensitive
tacaño/a	cheap; stingy
tímido/a	shy
tradicional	traditional
agobiado/a	overwhelmed
ansioso/a	anxious
deprimido/a	depressed
disgustado/a	upset
emocionado/a	excited
preocupado/a por	worried
solo/a	alone; lonely
tranquilo/a	calm
adorar	to adore
apreciar	to appreciate
enamorarse (de)	to fall in love (with)
estar harto de	to be fed up with
odiar	to hate
sentirse (e:ie)	to feel (emotionally, physically)
soñar (o:ue) (con)	to dream about
tener celos (de)	to be jealous (of)
tener vergüenza (de)	to be ashamed/embarrassed (of)
el/la amado/amada	loved one; sweetheart
el ánimo (estado de ánimo)	spirit; mood
el cariño, el amor	affection, love
la cita (a ciegas)	(blind) date
el compromiso	commitment; responsibility
la confianza	trust; confidence
el desánimo	the state of being discouraged
el divorcio	divorce
la pareja	couple; partner
el sentimiento	feeling; emotion
atraer	to attract
coquetear	to flirt
cuidar	to take care of
dejar a alguien	to leave someone
discutir	to argue
educar	to educate/bring up/raise
hacerle caso a alguien	to pay attention to someone
impresionar	to impress
llevar... años de (casados)	to be (married) for... years
llevarse bien/mal/fatal	to get along well/badly/terribly
mantenerse en contacto	to keep in touch
pasarlo bien/mal/fatal	to have a good/bad/terrible time
proponer matrimonio	to propose (marriage)
romper (con)	to break up (with)
salir (con)	to go out with
soportar a alguien	to put up with someone
casado, casada	Married (masc.)/married (fem.)
divorciado/a	divorced (from)
separado/a	separated
soltero/soltera	single
viudo/a	widowed
