el accidente	accident
el antibiótico	antibiotic
la aspirina	aspirin
la clínica	clinic
el consultorio	doctor's office
el/la dentista	dentist
el/la doctor/a	doctor
el dolor (de cabeza)	headache
el/la enfermero/a	nurse
el examen médico	physical exam
la farmacia	pharmacy
la gripe	flu
el hospital	hospital
la infección	infection
el medicamento	medication
la medicina	medicine
la operación	operation
el/la paciente	patient
la pastilla	pill
la radiografía	x-ray
la receta	prescription
el resfriado	cold
la sala de emergencia	emergency room
la salud	health
el síntoma	symptom
la tos	cough
