Aconsejar que...	To advise that...
Desear que...	To desire that...
Exigir que...	To demand that...
Importar que...	To be important to... / To import...
Insistir en que...	To insist that...
Mandar que...	To order that...
Necesitar que...	To need that...
Pedir que...	To request that...
Preferir que...	To prefer that...
Prohibir que...	To prohibit that...
Querer que...	To want that...
Recomendar que...	To recommend that...
Rogar que...	To beg/plead that...
Sugerir que...	To suggest that...
Esperar que...	To hope that...
