la aplicación	application
la cámara digital	digital camera
la cámara de vídeo	video camera
el cargador	charger
el canal	(TV) channel
el cibercafé	cybercafé
el control remoto	remote control
el correo de voz	voice mail
el disco compacto	CD
el estéreo	stereo
la pantalla táctil	touch screen
el radio	radio
el reproductor de CD	CD player
el celular	cell phone
apagar	to turn off
funcionar	to work
llamar	to call
poner; prender	to turn on
sonar	to ring
descompuesto	not working
lento	slow
lleno	full
el archivo	file
la arroba	@ symbol
el blog	blog
el buscador	browser
la computadora portatíl	portable computer
la connexión inalámbrica	wireless
la dirección electrónica	email
el mensaje de texto	text message
el monitor	monitor
la página principal	home page
el programa de computación	software
el ratón	mouse
la red	web
el sitio web	webpage
el teclado	keyboard
borrar	to erase
chatear	to chat
descargar	download
escanear	to scan
grabar	to record
guardar	to save
imprimir	to print
navegar en internet	to surf the net
abrazarse	to hug; to embrace
ayudarse	to help each other
besarse	to kiss each other
encontrarse	to meet; to run into each other
saludarse	to greet each other
la autopista; la carretera	highway
el baúl	trunk
la calle	street
el capó; el cofre	hood
el carro; el coche	car
la circulación; el tráfico	traffic
el garaje; el taller mecánico	garage
la gasolina	gasoline
la gasolinera	gas station
la licencia de conducir	driver's licence
la llanta	tire
el mecánico	mechanic
el navegador GPS	GPS
el parabrisas	windshield
la policía	police force
el policía	policeman
la velocidad máxima	speed limit
el volante	steering wheel
arrancar	to start
arreglar	to fix
bajar	to get off; to get out of a vehicle
conducir; manejar	to drive
estacionar	to park
llenar el tanque	to fill the tank
parar	to stop
revisar el aceite	to check the oil
subir	to get on or into a vehicle
por aquí	around here
por ejemplo	for example
por eso	that's why; therefore
por fin	finally
