caerse	to fall
dañar	to damage
darse con	to bump into; to run into
doler (o:ue)	to hurt
enfermarse	to get sick
estar enfermo/a	to be sick
estornudar	to sneeze
lastimarse (el pie)	to injure (one's foot)
olvidar	to forget
poner una inyección	to give an injection
prohibir	to prohibit, forbid
recetar	to prescribe
romper	to break
romperse (la pierna)	to break (one's leg)
sacarse un diente	to have a tooth removed
sufrir una enfermedad	to suffer an illness
tener dolor	to have pain
tener fiebre	to have a fever
tomar la temperatura	to take someone's temperature
torcerse (el tobillo)	to sprain (one's ankle)
toser	to cough
estar alérgico/a	to be allergic
